Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Set pieces / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2024-10-27,UCONN Huskies - Seton Hall Pirates 1:0,United States. NCAA D1 Big East (W),96,UCONN Huskies,3-4-1-2 (100.0%),1,2.92,24,8,33.33,383,292,76.24,51.94,123,14,33,76,103,41,38,24,251,135,53.78,6,3,50,58,20,34.48,0,0,0,17,4,23.53,5,3,60,2,1,50,0,0,0,27,16,59.26,16,5,35,9,19,31,101,33,32.67,0,0,7,0,0,111,79,71.17,30,20,66.67,2,2,100,53,10,14,0,0,157,109,69.43,65,60,92.31,127,103,81.1,66,35,53.03,72,48,66.67,99,75,75.76,0,0,0,32,25,78.13,6,13.91,2.88,17.23,15.64,23.37,5.56
2024-10-27,UCONN Huskies - Seton Hall Pirates 1:0,United States. NCAA D1 Big East (W),96,Seton Hall Pirates,4-2-3-1 (100.0%),0,0.33,7,0,0,359,251,69.92,48.06,152,43,49,60,92,57,27,8,251,112,44.62,4,0,0,30,3,10,0,0,0,26,4,15.38,0,0,0,5,3,60,0,0,0,13,5,38.46,5,2,16,1,9,5,111,32,28.83,0,1,24,8,33.33,101,68,67.33,30,9,30,0,0,0,28,14,7,1,0,144,89,61.81,63,54,85.71,104,77,74.04,66,35,53.03,53,32,60.38,98,55,56.12,0,0,0,42,30,71.43,14,14.09,2.49,18.38,21.21,20.02,11.68
2024-10-25,UCONN Huskies - DePaul Blue Demons 3:1,United States. NCAA D1 Big East (W),95,UCONN Huskies,3-4-1-2 (87.93%),3,1.89,17,8,47.06,459,354,77.12,59.57,158,14,53,91,113,43,50,20,265,146,55.09,6,2,33.33,57,13,22.81,0,0,0,21,4,19.05,5,2,40,3,2,66.67,0,0,0,39,16,41.03,12,7,43,8,28,20,97,42,43.3,1,1,5,2,40,72,50,69.44,51,34,66.67,4,1,25,41,18,11,0,0,176,115,65.34,68,63,92.65,168,143,85.12,83,45,54.22,79,46,58.23,96,76,79.17,2,1,50,50,45,90,5,14.09,2.87,18.08,17.16,22.11,6.5
2024-10-25,UCONN Huskies - DePaul Blue Demons 3:1,United States. NCAA D1 Big East (W),95,DePaul Blue Demons,5-3-2 (100.0%),1,0.77,5,2,40,287,179,62.37,40.43,155,20,72,63,96,48,41,7,265,107,40.38,3,0,0,27,5,18.52,0,0,0,20,0,0,1,0,0,1,0,0,0,0,0,10,4,40,3,3,11,1,4,5,72,22,30.56,2,3,17,8,47.06,97,55,56.7,51,13,25.49,1,0,0,55,26,10,0,0,148,67,45.27,41,38,92.68,76,63,82.89,66,20,30.3,57,25,43.86,72,40,55.56,0,0,0,30,27,90,9,12.98,1.94,23,20.33,21.58,11.56
2024-10-20,Villanova Wildcats - UCONN Huskies 0:0,United States. NCAA D1 Big East (W),93,UCONN Huskies,4-2-3-1 (100.0%),0,0.88,17,5,29.41,357,252,70.59,49.55,137,9,42,86,103,34,50,19,297,155,52.19,10,3,30,61,14,22.95,2,0,0,15,3,20,5,3,60,2,0,0,0,0,0,38,9,23.68,12,3,43,3,24,16,117,39,33.33,0,0,5,2,40,110,84,76.36,36,17,47.22,1,1,100,51,14,10,0,0,151,94,62.25,44,36,81.82,115,86,74.78,70,37,52.86,68,40,58.82,85,62,72.94,2,1,50,49,43,87.76,4,14.06,2.46,19.61,20.72,20.37,5.05
2024-10-20,Villanova Wildcats - UCONN Huskies 0:0,United States. NCAA D1 Big East (W),93,Villanova Wildcats,4-2-3-1 (100.0%),0,0.22,5,2,40,301,213,70.76,50.45,143,34,60,49,103,70,23,10,297,130,43.77,4,2,50,31,4,12.9,1,0,0,25,1,4,1,0,0,3,1,33.33,0,0,0,9,3,33.33,1,0,6,1,2,2,111,26,23.42,1,0,17,5,29.41,116,77,66.38,36,13,36.11,2,2,100,58,37,5,0,0,137,86,62.77,60,52,86.67,71,59,83.1,65,34,52.31,46,30,65.22,89,57,64.04,1,1,100,42,41,97.62,16,11.64,2.03,21.59,23.08,21.91,10.8
2024-10-18,UCONN Huskies - Butler Bulldogs 1:2,United States. NCAA D1 Big East (W),100,UCONN Huskies,4-2-3-1 (93.4%),1,1.93,18,11,61.11,359,254,70.75,38.4,140,17,51,72,114,49,48,17,211,104,49.29,7,5,71.43,33,13,39.39,0,0,0,16,5,31.25,2,2,100,4,3,75,0,0,0,9,4,44.44,5,4,19,1,6,17,88,32,36.36,14,2,6,5,83.33,71,44,61.97,32,21,65.63,1,0,0,42,10,9,0,0,161,95,59.01,50,41,82,107,88,82.24,61,25,40.98,67,31,46.27,78,49,62.82,1,1,100,28,24,85.71,4,16.74,2.9,16.99,17.02,19.58,9.95
2024-10-18,UCONN Huskies - Butler Bulldogs 1:2,United States. NCAA D1 Big East (W),100,Butler Bulldogs,4-4-2 (100.0%),2,1.12,6,4,66.67,475,363,76.42,61.6,150,27,60,63,80,36,34,10,211,101,47.87,2,0,0,22,2,9.09,0,0,0,33,4,12.12,3,2,66.67,2,0,0,0,0,0,9,1,11.11,0,5,16,3,4,12,71,27,38.03,2,1,18,11,61.11,88,56,63.64,32,10,31.25,1,0,0,50,17,8,0,0,171,99,57.89,57,55,96.49,203,180,88.67,64,24,37.5,58,24,41.38,78,38,48.72,2,0,0,29,22,75.86,8,13.81,3.71,13.47,15.25,19.33,8.21
2024-10-13,Marquette Golden Eagles - UCONN Huskies 0:3,United States. NCAA D1 Big East (W),101,UCONN Huskies,4-2-3-1 (100.0%),3,1.45,15,6,40,288,179,62.15,46.98,177,38,80,59,120,43,57,20,302,161,53.31,5,2,40,35,9,25.71,0,0,0,26,5,19.23,4,1,25,6,1,16.67,0,0,0,15,6,40,4,3,19,2,7,14,107,39,36.45,1,0,9,4,44.44,108,76,70.37,53,32,60.38,6,3,50,55,31,15,1,0,134,70,52.24,36,26,72.22,76,53,69.74,41,14,34.15,47,19,40.43,66,36,54.55,5,0,0,45,31,68.89,10,13.2,1.95,14.24,17.83,19.66,5.88
2024-10-13,Marquette Golden Eagles - UCONN Huskies 0:3,United States. NCAA D1 Big East (W),101,Marquette Golden Eagles,4-1-4-1 (100.0%),0,0.55,9,4,44.44,365,234,64.11,53.02,175,26,76,73,126,54,53,19,302,136,45.03,5,3,60,38,4,10.53,0,0,0,30,4,13.33,7,1,14.29,3,1,33.33,0,0,0,13,2,15.38,2,2,21,0,6,8,108,32,29.63,0,3,15,6,40,107,68,63.55,53,21,39.62,5,2,40,54,13,14,0,0,164,87,53.05,50,42,84,105,81,77.14,70,26,37.14,63,29,46.03,87,50,57.47,0,0,0,38,31,81.58,11,14.83,2.35,19.18,21.96,20.38,4.42
