Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Set pieces / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2024-09-15,UCONN Huskies - Texas A&M Aggies 6:0,United States. NCAA D1 Non-conference matches (W),98,UCONN Huskies,4-2-3-1 (100.0%),6,2.51,13,10,76.92,420,310,73.81,49.98,151,17,60,74,103,43,47,13,208,109,52.4,4,1,25,34,9,26.47,0,0,0,17,4,23.53,2,2,100,3,2,66.67,0,0,0,18,5,27.78,5,0,18,2,10,15,71,31,43.66,0,0,12,5,41.67,94,63,67.02,31,11,35.48,2,2,100,45,19,10,0,0,157,97,61.78,79,68,86.08,133,107,80.45,62,29,46.77,50,21,42,70,44,62.86,1,0,0,38,25,65.79,7,15.07,2.76,14.76,14.47,20.03,6.92
2024-09-15,UCONN Huskies - Texas A&M Aggies 6:0,United States. NCAA D1 Non-conference matches (W),98,Texas A&M Aggies,4-2-3-1 (100.0%),0,1,12,5,41.67,347,238,68.59,50.02,148,27,62,59,104,45,47,12,208,96,46.15,6,2,33.33,32,8,25,0,0,0,18,2,11.11,2,1,50,4,1,25,0,0,0,7,2,28.57,2,3,14,4,3,13,94,31,32.98,0,6,13,9,69.23,71,40,56.34,31,19,61.29,4,1,25,42,25,8,0,0,135,68,50.37,48,44,91.67,115,95,82.61,30,7,23.33,56,23,41.07,61,34,55.74,0,0,0,42,35,83.33,6,12.44,2.48,8.65,20.44,19.38,9.65
2024-09-13,UCONN Huskies - Yale Bulldogs 2:1,United States. NCAA D1 Non-conference matches (W),99,UCONN Huskies,4-2-3-1 (100.0%),2,1.86,8,5,62.5,328,229,69.82,39.29,134,15,44,75,101,48,37,16,268,144,53.73,1,0,0,33,5,15.15,0,0,0,25,3,12,4,1,25,3,0,0,0,0,0,16,6,37.5,7,3,17,3,11,10,92,31,33.7,3,1,6,3,50,105,77,73.33,39,25,64.1,2,1,50,37,12,11,1,0,147,83,56.46,50,46,92,90,71,78.89,78,42,53.85,63,31,49.21,78,54,69.23,1,0,0,27,24,88.89,6,14.83,2.52,23.78,11.2,21.77,11.82
2024-09-13,UCONN Huskies - Yale Bulldogs 2:1,United States. NCAA D1 Non-conference matches (W),99,Yale Bulldogs,4-4-2 (50.41%),1,0.44,6,1,16.67,495,379,76.57,60.71,142,29,46,67,89,43,32,14,268,114,42.54,5,1,20,29,5,17.24,0,0,0,24,1,4.17,3,1,33.33,5,0,0,0,0,0,11,2,18.18,2,3,18,2,7,6,105,28,26.67,3,2,8,5,62.5,92,61,66.3,39,10,25.64,2,2,100,24,10,13,0,1,170,106,62.35,73,68,93.15,200,169,84.5,62,25,40.32,63,30,47.62,96,56,58.33,2,2,100,30,23,76.67,7,14.49,3.72,12.53,21.64,21.39,10.08
2024-09-08,UCONN Huskies - Rhode Island Rhody 3:1,United States. NCAA D1 Non-conference matches (W),98,UCONN Huskies,4-2-3-1 (100.0%),3,3.38,16,8,50,460,353,76.74,56.57,116,8,51,57,118,60,47,11,326,185,56.75,6,1,16.67,43,12,27.91,1,0,0,21,2,9.52,6,2,33.33,1,0,0,2,2,100,29,7,24.14,5,4,31,6,16,16,114,32,28.07,3,1,9,2,22.22,113,91,80.53,58,41,70.69,0,0,0,29,5,14,0,0,185,124,67.03,60,52,86.67,164,135,82.32,80,44,55,73,45,61.64,97,68,70.1,0,0,0,21,19,90.48,2,15.34,3.24,17.39,16.5,22.75,7.19
2024-09-08,UCONN Huskies - Rhode Island Rhody 3:1,United States. NCAA D1 Non-conference matches (W),98,Rhode Island Rhody,4-4-2 (100.0%),1,0.26,9,2,22.22,294,211,71.77,43.43,126,25,43,58,95,57,25,13,326,128,39.26,7,1,14.29,28,7,25,1,0,0,25,2,8,0,0,0,0,0,0,0,0,0,13,3,23.08,1,1,16,1,10,5,113,22,19.47,2,3,16,11,68.75,114,82,71.93,58,11,18.97,2,0,0,40,13,11,1,0,138,88,63.77,43,35,81.4,86,69,80.23,69,35,50.72,64,31,48.44,73,56,76.71,1,0,0,33,24,72.73,13,12.77,2.19,23.47,27.71,24.24,13.88
2024-09-05,UCONN Huskies - Cal State Fullerton Titans 2:0,United States. NCAA D1 Non-conference matches (W),97,UCONN Huskies,4-2-3-1 (100.0%),2,1.33,10,4,40,436,346,79.36,55.45,138,26,51,61,100,47,38,15,305,160,52.46,4,2,50,34,7,20.59,2,1,50,28,2,7.14,1,1,100,4,0,0,0,0,0,23,12,52.17,12,4,30,3,19,17,103,50,48.54,2,0,9,3,33.33,107,69,64.49,31,15,48.39,7,4,57.14,43,31,8,0,0,157,105,66.88,59,54,91.53,157,137,87.26,65,33,50.77,54,35,64.81,84,55,65.48,1,1,100,28,27,96.43,8,15.16,3.25,14.91,19.18,19.43,7.26
2024-09-05,UCONN Huskies - Cal State Fullerton Titans 2:0,United States. NCAA D1 Non-conference matches (W),97,Cal State Fullerton Titans,4-4-2 (100.0%),0,0.81,9,3,33.33,322,224,69.57,44.55,145,22,63,60,95,46,34,15,305,127,41.64,4,1,25,30,4,13.33,0,0,0,25,4,16,8,2,25,3,1,33.33,0,0,0,12,5,41.67,4,3,12,1,8,9,107,38,35.51,3,2,10,4,40,103,53,51.46,31,14,45.16,3,1,33.33,37,17,17,2,0,144,87,60.42,39,36,92.31,104,79,75.96,59,33,55.93,52,29,55.77,84,42,50,1,0,0,38,30,78.95,7,13.93,2.4,18.32,17.84,19.16,8.86
2024-09-01,Boston Terriers - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),94,UCONN Huskies,4-4-1-1 (100.0%),2,1.79,7,3,42.86,410,301,73.41,52.67,145,26,64,55,96,45,41,10,259,136,52.51,1,0,0,28,6,21.43,0,0,0,25,1,4,5,1,20,2,0,0,0,0,0,15,4,26.67,6,4,27,3,10,13,98,34,34.69,1,0,12,2,16.67,98,66,67.35,36,24,66.67,0,0,0,51,25,15,0,0,153,89,58.17,52,47,90.38,145,123,84.83,70,29,41.43,54,30,55.56,76,47,61.84,3,1,33.33,31,29,93.55,13,15.15,3.04,17.07,12.86,19.59,5.55
2024-09-01,Boston Terriers - UCONN Huskies 0:2,United States. NCAA D1 Non-conference matches (W),94,Boston Terriers,4-1-4-1 (100.0%),0,1.08,12,2,16.67,342,229,66.96,47.33,143,24,55,64,89,32,44,13,259,115,44.4,8,2,25,30,7,23.33,1,1,100,27,4,14.81,3,2,66.67,4,1,25,0,0,0,8,1,12.5,1,3,16,5,4,10,98,32,32.65,0,2,7,4,57.14,98,64,65.31,36,9,25,2,1,50,34,16,9,0,0,140,89,63.57,48,39,81.25,98,66,67.35,52,17,32.69,45,23,51.11,69,36,52.17,0,0,0,42,41,97.62,11,14.07,2.39,15.2,21.15,18.77,11.19
2024-08-25,New Hampshire Wildcats - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),99,UCONN Huskies,4-1-4-1 (29.01%),1,1.38,14,8,57.14,520,399,76.73,58.27,156,2,68,86,117,43,63,11,218,104,47.71,6,4,66.67,39,9,23.08,1,1,100,20,3,15,10,3,30,1,0,0,0,0,0,27,4,14.81,5,5,29,4,13,13,66,19,28.79,1,0,2,1,50,57,45,78.95,46,22,47.83,2,1,50,41,5,10,0,0,220,147,66.82,72,68,94.44,174,147,84.48,62,31,50,95,53,55.79,83,66,79.52,1,0,0,36,35,97.22,2,16.08,3.77,11.92,21.21,19.24,6.57
2024-08-25,New Hampshire Wildcats - UCONN Huskies 0:1,United States. NCAA D1 Non-conference matches (W),99,New Hampshire Wildcats,4-2-3-1 (100.0%),0,0.06,2,1,50,343,222,64.72,41.73,165,23,90,52,109,58,44,7,218,101,46.33,0,0,0,10,2,20,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,1,0,2,57,12,21.05,2,1,14,8,57.14,66,47,71.21,46,17,36.96,1,1,100,39,18,6,0,0,179,84,46.93,47,41,87.23,83,68,81.93,77,20,25.97,50,12,24,67,27,40.3,0,0,0,22,16,72.73,14,14.81,2.56,22.45,20.35,19.95,22.59
2024-08-22,UCONN Huskies - Wisconsin Badgers 1:2,United States. NCAA D1 Non-conference matches (W),103,UCONN Huskies,4-2-3-1 (100.0%),1,0.73,6,2,33.33,355,257,72.39,49.38,132,28,45,59,90,50,22,18,264,137,51.89,3,1,33.33,41,3,7.32,0,0,0,23,3,13.04,2,0,0,4,0,0,0,0,0,16,4,25,6,7,23,3,9,12,97,33,34.02,4,2,11,5,45.45,87,67,77.01,52,27,51.92,4,2,50,46,21,9,0,0,143,84,58.74,46,40,86.96,125,106,84.8,64,34,53.13,53,26,49.06,73,43,58.9,0,0,0,48,40,83.33,7,14.01,2.52,18.03,17.72,22.1,9.72
2024-08-22,UCONN Huskies - Wisconsin Badgers 1:2,United States. NCAA D1 Non-conference matches (W),103,Wisconsin Badgers,4-4-2 (100.0%),2,1.22,11,4,36.36,359,251,69.92,50.62,142,33,31,78,86,39,27,20,264,123,46.59,4,0,0,39,7,17.95,0,0,0,26,4,15.38,6,2,33.33,0,1,0,0,0,0,17,4,23.53,3,3,22,2,8,11,87,20,22.99,1,1,6,2,33.33,97,64,65.98,52,23,44.23,4,0,0,47,34,13,2,0,145,83,57.24,52,46,88.46,121,95,78.51,54,23,42.59,70,35,50,78,57,73.08,0,0,0,33,26,78.79,7,13.83,2.68,15.04,17.31,21.32,7.4
2024-08-18,UCONN Huskies - Vermont Catamouts 2:2,United States. NCAA D1 Non-conference matches (W),97,UCONN Huskies,4-1-4-1 (100.0%),2,3.08,23,9,39.13,440,318,72.27,52.95,168,19,58,91,106,33,54,19,270,118,43.7,7,1,14.29,59,17,28.81,2,2,100,23,3,13.04,6,3,50,2,0,0,0,0,0,29,9,31.03,13,8,42,11,19,35,134,43,32.09,4,2,17,5,29.41,85,53,62.35,26,14,53.85,2,2,100,45,3,7,1,0,165,102,61.82,64,58,90.63,159,124,77.99,72,35,48.61,65,38,58.46,100,65,65,3,0,0,56,44,78.57,7,16.01,2.73,16.36,16.67,21.25,7.16
2024-08-18,UCONN Huskies - Vermont Catamouts 2:2,United States. NCAA D1 Non-conference matches (W),97,Vermont Catamouts,3-4-2-1 (100.0%),2,1.78,17,5,29.41,402,289,71.89,47.05,151,41,60,50,118,66,37,15,270,143,52.96,11,3,27.27,33,16,48.48,0,0,0,23,1,4.35,0,0,0,0,0,0,0,0,0,8,4,50,4,1,14,3,6,11,85,32,37.65,0,2,23,9,39.13,134,91,67.91,26,10,38.46,4,1,25,43,26,10,2,0,172,104,60.47,61,55,90.16,126,100,79.37,59,29,49.15,49,28,57.14,94,53,56.38,0,0,0,23,21,91.3,16,16.46,2.7,14.68,22.08,18.68,9.68
