Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Set pieces / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2025-11-06,Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),105,UCONN Huskies,3-4-2-1 (100.0%),0,0.32,3,1,33.33,407,278,68.3,47.7,192,43,69,80,105,40,54,11,222,110,49.55,2,1,50,24,2,8.33,4,0,0,25,1,4,2,1,50,2,0,0,0,0,0,11,2,18.18,3,3,18,1,5,11,75,23,30.67,0,7,24,12,50,79,56,70.89,38,21,55.26,2,0,0,63,38,8,1,0,164,83,50.61,59,55,93.22,119,94,78.99,79,25,31.65,80,28,35,66,37,56.06,3,0,0,41,30,73.17,14,15.83,2.85,19.41,19.77,19.23,7.92
2025-11-06,Xavier Musketeers - UCONN Huskies 7:0,United States. NCAA D1 Big East (W),105,Xavier Musketeers,3-4-3 (100.0%),7,4.22,24,12,50,437,301,68.88,52.3,163,22,71,70,118,58,41,19,222,103,46.4,8,3,37.5,42,17,40.48,0,0,0,23,6,26.09,8,2,25,2,1,50,1,1,100,27,8,29.63,7,13,37,6,19,32,79,23,29.11,1,0,3,1,33.33,75,52,69.33,38,11,28.95,0,0,0,52,9,8,0,0,170,102,60,59,51,86.44,149,111,74.5,70,28,40,55,33,60,109,63,57.8,0,0,0,30,24,80,8,15.5,3.1,16.02,15.63,19.28,8.72
2025-10-26,Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),96,UCONN Huskies,4-2-3-1 (100.0%),1,2.57,20,5,25,384,268,69.79,53.98,159,22,45,92,115,24,59,32,292,123,42.12,9,2,22.22,56,14,25,0,0,0,23,5,21.74,8,2,25,4,4,100,0,0,0,40,13,32.5,14,3,31,3,23,28,126,33,26.19,1,0,2,0,0,55,36,65.45,66,34,51.52,0,0,0,24,17,13,1,0,147,93,63.27,53,48,90.57,123,90,73.17,66,29,43.94,66,39,59.09,80,54,67.5,0,0,0,47,38,80.85,5,14.8,2.84,17.19,19.97,19.72,7.86
2025-10-26,Seton Hall Pirates - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),96,Seton Hall Pirates,4-2-3-1 (100.0%),0,0.06,2,0,0,321,217,67.6,46.02,168,49,73,46,98,61,29,8,292,150,51.37,2,0,0,11,1,9.09,0,0,0,31,1,3.23,0,0,0,3,1,33.33,0,0,0,4,1,25,0,1,7,0,2,4,55,19,34.55,0,1,20,5,25,126,93,73.81,66,24,36.36,4,2,50,63,21,10,0,0,125,70,56,47,43,91.49,99,71,71.72,57,20,35.09,35,12,34.29,77,28,36.36,0,0,0,26,20,76.92,22,14.51,2.72,17.76,25.92,18.42,8.35
2025-10-22,DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),99,UCONN Huskies,4-1-4-1 (100.0%),1,1.23,17,6,35.29,399,280,70.18,63.33,162,21,67,74,112,32,54,26,294,146,49.66,8,3,37.5,45,10,22.22,0,0,0,30,7,23.33,9,5,55.56,2,1,50,0,0,0,15,2,13.33,3,6,27,5,8,19,121,47,38.84,1,0,7,2,28.57,77,57,74.03,57,28,49.12,1,1,100,54,20,13,1,0,155,88,56.77,57,51,89.47,129,108,83.72,70,32,45.71,64,39,60.94,79,47,59.49,2,1,50,49,44,89.8,7,14.29,2.64,17.54,19.68,18.62,4.44
2025-10-22,DePaul Blue Demons - UCONN Huskies 0:1,United States. NCAA D1 Big East (W),99,DePaul Blue Demons,4-2-3-1 (100.0%),0,0.65,7,2,28.57,269,151,56.13,36.67,158,33,74,51,109,47,53,9,294,131,44.56,4,1,25,20,5,25,0,0,0,23,2,8.7,1,1,100,2,0,0,0,0,0,7,3,42.86,4,2,12,2,4,7,77,20,25.97,2,1,17,6,35.29,121,74,61.16,57,22,38.6,1,0,0,28,33,13,0,0,142,60,42.25,31,28,90.32,66,47,71.21,56,15,26.79,48,16,33.33,55,25,45.45,1,1,100,36,26,72.22,18,16.64,2.04,20.82,18.8,19.31,9.68
2025-10-18,UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),101,UCONN Huskies,4-2-3-1 (100.0%),2,2.47,20,9,45,348,239,68.68,51.83,158,32,67,59,108,65,33,10,240,116,48.33,8,2,25,39,13,33.33,0,0,0,19,7,36.84,4,3,75,5,1,20,0,0,0,10,1,10,2,10,27,8,4,22,81,29,35.8,0,0,13,2,15.38,71,48,67.61,70,28,40,2,0,0,58,44,7,0,0,161,94,58.39,45,42,93.33,107,81,75.7,79,38,48.1,61,28,45.9,88,55,62.5,1,0,0,40,29,72.5,8,13.84,2.25,22.7,17.54,22.22,6.58
2025-10-18,UCONN Huskies - Villanova Wildcats 2:0,United States. NCAA D1 Big East (W),101,Villanova Wildcats,4-2-3-1 (85.35%),0,0.91,13,2,15.38,301,181,60.13,48.17,183,27,69,87,100,40,41,19,240,116,48.33,7,1,14.29,41,8,19.51,0,0,0,28,5,17.86,4,2,50,1,1,100,0,0,0,27,6,22.22,6,3,27,2,18,11,71,23,32.39,0,2,20,9,45,81,52,64.2,70,35,50,3,1,33.33,46,14,8,1,0,150,77,51.33,35,32,91.43,75,49,65.33,63,30,47.62,52,17,32.69,77,44,57.14,1,0,0,46,37,80.43,17,12.88,2.09,20.93,18.36,20.21,7.82
2025-10-16,Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),99,UCONN Huskies,4-4-2 (100.0%),2,1.01,7,2,28.57,318,209,65.72,38.47,142,23,54,65,89,41,27,21,234,121,51.71,2,1,50,32,5,15.63,0,0,0,26,2,7.69,4,1,25,2,0,0,0,0,0,15,4,26.67,3,4,16,3,5,14,74,25,33.78,5,0,13,2,15.38,98,67,68.37,34,13,38.24,0,0,0,47,16,8,0,0,135,76,56.3,44,37,84.09,98,72,73.47,57,26,45.61,50,20,40,82,42,51.22,0,0,0,28,22,78.57,14,15.07,2.45,17.92,16.28,20.11,9.77
2025-10-16,Butler Bulldogs - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),99,Butler Bulldogs,4-4-2 (100.0%),0,0.7,13,1,7.69,448,349,77.9,61.53,147,31,44,72,83,39,31,13,234,107,45.73,12,1,8.33,41,10,24.39,0,0,0,24,2,8.33,1,0,0,1,0,0,0,0,0,16,4,25,4,3,15,3,5,10,98,31,31.63,0,2,7,2,28.57,74,49,66.22,34,17,50,2,1,50,30,16,9,1,0,136,89,65.44,58,52,89.66,196,169,86.22,65,33,50.77,67,36,53.73,88,57,64.77,0,0,0,41,37,90.24,10,13.27,3.64,14.51,23.25,20.57,9.88
